,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
16049,ZCTA5 08109,67809.0,1610.0,3802.0,5079.0,13973.0,2755.0,34,08109
16050,ZCTA5 08110,57478.0,1630.0,6338.0,7323.0,4816.0,4631.0,34,08110
16051,ZCTA5 08201,59521.0,517.0,1439.0,1357.0,7265.0,464.0,34,08201
16052,ZCTA5 08202,81696.0,18.0,0.0,19.0,1481.0,0.0,34,08202
16053,ZCTA5 08203,62303.0,360.0,208.0,800.0,8411.0,22.0,34,08203
16054,ZCTA5 08204,63483.0,197.0,651.0,1275.0,17223.0,218.0,34,08204
16055,ZCTA5 08205,60336.0,3650.0,3686.0,4003.0,18834.0,1378.0,34,08205
16056,ZCTA5 08210,65899.0,310.0,2045.0,494.0,14511.0,78.0,34,08210
16057,ZCTA5 08212,48438.0,0.0,3.0,0.0,209.0,0.0,34,08212
16058,ZCTA5 08215,63873.0,499.0,1275.0,2373.0,10342.0,961.0,34,08215
16059,ZCTA5 08217,-666666666.0,0.0,0.0,0.0,24.0,0.0,34,08217
16060,ZCTA5 08221,84021.0,244.0,73.0,482.0,6435.0,81.0,34,08221
16061,ZCTA5 08223,76176.0,27.0,43.0,83.0,3977.0,0.0,34,08223
16062,ZCTA5 08224,60486.0,0.0,12.0,0.0,520.0,0.0,34,08224
16063,ZCTA5 08225,71810.0,543.0,209.0,855.0,7509.0,130.0,34,08225
16064,ZCTA5 08226,61786.0,217.0,203.0,801.0,10222.0,499.0,34,08226
16065,ZCTA5 08230,83029.0,22.0,8.0,323.0,5448.0,43.0,34,08230
16066,ZCTA5 08232,41802.0,695.0,8472.0,7936.0,7618.0,1921.0,34,08232
16067,ZCTA5 08234,73013.0,5035.0,3655.0,7148.0,29394.0,2557.0,34,08234
16068,ZCTA5 08240,-666666666.0,87.0,212.0,219.0,1878.0,23.0,34,08240
16069,ZCTA5 08241,89904.0,12.0,6.0,40.0,958.0,0.0,34,08241
16070,ZCTA5 08242,51269.0,0.0,95.0,644.0,2380.0,121.0,34,08242
16071,ZCTA5 08243,70333.0,1.0,1.0,25.0,1899.0,0.0,34,08243
16072,ZCTA5 08244,52047.0,422.0,1513.0,1442.0,8499.0,301.0,34,08244
16073,ZCTA5 08246,-666666666.0,34.0,0.0,0.0,85.0,0.0,34,08246
16074,ZCTA5 08247,96071.0,6.0,16.0,0.0,919.0,0.0,34,08247
16075,ZCTA5 08248,212188.0,0.0,0.0,0.0,181.0,0.0,34,08248
16076,ZCTA5 08251,47050.0,0.0,65.0,677.0,9294.0,58.0,34,08251
16077,ZCTA5 08260,43493.0,163.0,511.0,1366.0,12236.0,59.0,34,08260
16078,ZCTA5 08270,62284.0,20.0,744.0,1136.0,7526.0,210.0,34,08270
16079,ZCTA5 08302,49189.0,827.0,11393.0,14519.0,24682.0,6167.0,34,08302
16080,ZCTA5 08310,43333.0,0.0,37.0,77.0,1440.0,1.0,34,08310
16081,ZCTA5 08311,61432.0,2.0,357.0,353.0,1577.0,146.0,34,08311
16082,ZCTA5 08312,63550.0,115.0,1157.0,341.0,6280.0,56.0,34,08312
16083,ZCTA5 08314,73008.0,134.0,1139.0,430.0,961.0,174.0,34,08314
16084,ZCTA5 08316,-666666666.0,14.0,0.0,0.0,313.0,0.0,34,08316
16085,ZCTA5 08317,85313.0,16.0,158.0,99.0,1176.0,14.0,34,08317
16086,ZCTA5 08318,76176.0,76.0,568.0,435.0,11101.0,89.0,34,08318
16087,ZCTA5 08319,86875.0,12.0,22.0,34.0,1158.0,0.0,34,08319
16088,ZCTA5 08320,-666666666.0,17.0,798.0,311.0,246.0,149.0,34,08320
16089,ZCTA5 08321,19559.0,0.0,0.0,0.0,107.0,0.0,34,08321
16090,ZCTA5 08322,79425.0,418.0,842.0,662.0,8686.0,428.0,34,08322
16091,ZCTA5 08323,62083.0,29.0,40.0,32.0,603.0,0.0,34,08323
16092,ZCTA5 08324,72206.0,0.0,0.0,0.0,365.0,0.0,34,08324
16093,ZCTA5 08326,60156.0,7.0,74.0,383.0,1169.0,130.0,34,08326
16094,ZCTA5 08327,80417.0,3.0,1884.0,671.0,1186.0,483.0,34,08327
16095,ZCTA5 08328,51402.0,4.0,26.0,213.0,1094.0,146.0,34,08328
16096,ZCTA5 08329,91250.0,0.0,0.0,0.0,71.0,0.0,34,08329
16097,ZCTA5 08330,62207.0,2379.0,4425.0,3882.0,19059.0,1455.0,34,08330
16098,ZCTA5 08332,49206.0,373.0,5787.0,6026.0,27801.0,1095.0,34,08332
16099,ZCTA5 08340,-666666666.0,0.0,6.0,13.0,846.0,13.0,34,08340
